failure,run,e2_tsi,e2_tti,m1_pv,r1_t2,snk1_t,srce1_t,srcr1_t,xc1_sp,k1_p1,k1_p2,snk1_p,srce1_p,srcr1_p,m2_pv,srce1_w,xc2_sp,r1_xmax,r1_tau,snk1_z_c2h4o,snk1_z_c2h4,srcr1_m_c2h4,srcr1_m_o2,xv1_pos,xv2_pos,xv3_pos
highSetpoint_tempControlLoop,0,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,196.91844421953704,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999061631115,0.5
highSetpoint_tempControlLoop,1,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,155.935599676898,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999050304051,0.5
highSetpoint_tempControlLoop,2,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,192.63896047105698,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.999999914722079,0.5
highSetpoint_tempControlLoop,3,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,194.42078838908697,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999111584232,0.5
highSetpoint_tempControlLoop,4,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,171.31853984471297,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999027874583,0.5
highSetpoint_tempControlLoop,5,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,179.736070877317,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999238756585,0.5
highSetpoint_tempControlLoop,6,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,191.062651734339,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999178746966,0.5
highSetpoint_tempControlLoop,7,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,155.07913724396303,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999024805649,0.5
highSetpoint_tempControlLoop,8,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,184.95006990416698,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.999999910527821,0.5
highSetpoint_tempControlLoop,9,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,181.326637374475,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999198038083,0.5
highSetpoint_tempControlLoop,10,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,209.376575109722,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
highSetpoint_tempControlLoop,11,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,198.79954427253404,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999024009114,0.5
highSetpoint_tempControlLoop,12,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,150.19707250016,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999000842424,0.5
highSetpoint_tempControlLoop,13,20.002394485167372,405.4476061952595,150.0,217.1514433294687,217.15144332946863,20.0,25.0,183.68759752078597,0.49999999999999994,22.099999999999977,1.6078166151936488,1.5,1.0,99.4177777777775,100.0,99.4177777777775,0.29944429796905,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,0.9999999137597504,0.5
